USFS01C BLC Curncy,,1/1/2001,,USFS05C BLC Curncy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,px_mid,6/6/2017,,,px_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2001,4.9569,,,3/29/2001,6.1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2001,4.8276,,,3/30/2001,6.1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2001,4.875,,,4/2/2001,6.1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2001,4.7598,,,4/3/2001,6.1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2001,4.7492,,,4/4/2001,6.1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2001,4.8411,,,4/5/2001,6.1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2001,4.7257,,,4/6/2001,6.0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2001,4.7454,,,4/9/2001,6.1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2001,4.8807,,,4/10/2001,6.2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2001,4.9225,,,4/11/2001,6.3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2001,5.0005,,,4/12/2001,6.3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2001,5.1001,,,4/16/2001,6.4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2001,5.0352,,,4/17/2001,6.4158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2001,4.7791,,,4/18/2001,6.2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2001,4.9808,,,4/19/2001,6.4582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2001,4.8796,,,4/20/2001,6.4657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/23/2001,4.7857,,,4/23/2001,6.4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/2001,4.7827,,,4/24/2001,6.3837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2001,4.9171,,,4/25/2001,6.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2001,4.8587,,,4/26/2001,6.4149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2001,5.0068,,,4/27/2001,6.5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/2001,5.0185,,,4/30/2001,6.5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2001,4.9447,,,5/1/2001,6.5474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2001,4.9986,,,5/2/2001,6.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2001,4.9359,,,5/3/2001,6.4293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2001,4.8289,,,5/4/2001,6.3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2001,4.7849,,,5/7/2001,6.3984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2001,4.8391,,,5/8/2001,6.4388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2001,4.7582,,,5/9/2001,6.3541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2001,4.9107,,,5/10/2001,6.5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2001,5.069,,,5/11/2001,6.7087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2001,5.0182,,,5/14/2001,6.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2001,4.9569,,,5/15/2001,6.7684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2001,4.9536,,,5/16/2001,6.7033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2001,5.0475,,,5/17/2001,6.6129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2001,5.1076,,,5/18/2001,6.5958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2001,5.0826,,,5/21/2001,6.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2001,5.0836,,,5/22/2001,6.5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2001,5.0109,,,5/23/2001,6.6106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2001,5.1154,,,5/24/2001,6.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2001,5.0692,,,5/25/2001,6.7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2001,5.0514,,,5/29/2001,6.7281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2001,5.0502,,,5/30/2001,6.7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2001,4.9384,,,5/31/2001,6.6336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
